"Site: Site Name","Lot: Lot Number","Block Number","Block Lot Number","Year Started","Site: ID","Lot: ID","City","Dimensions","Lot Number","MCC","No Actual Address","Owner City","Owner Name","Owner State","Owner Street Address","Owner Zip","Square Feet","State","Street Address","Zip","Lot: Created Date","Lot: Last Modified Date","Additional Block/Lot Numbers","Address, if Available","Approximate Address","City","City Council District","Conservation Value","Conservation Value, if Other","Date Added","Directions to Site","Fence","GPS Coordinates","If Fence, Hours Posted","If Fence, Locked","Legislative District","Management","Motivations","Neighborhood","Notes","Owner","Ownership Type","Permission","Primary Block/Lot Number","QCMOS","Relationship to BGS","Site Record Number","Source","Square Feet","State","Type","Uses","Watershed","Zip Code","Zoning Type","Site: Record Type","Site: Owner Role","Site: Created Date","Site: Last Modified Date","Site: Last Activity Date"
"Springfield Woods","015","5204","5204 015","2012","a0Kd0000002AlhC","a0Pd00000048IRz","Baltimore","30 x 165","","No","0","Rockville","Alameda Development Limited Partnership","MD","204 Monroe St, Suite 201","20850","4948","MD","","21218","3/26/2012","3/26/2012","","998-900 Springfield Ave","Just south of 43rd, just west of the Alameda. Borders St. George's and Minerva. Springfield dead-ends at the woods.","Baltimore","7","","","","","","","","","40","","","Wilson Park","limited development potential, according to preliminary forest conservation analysis by Gary Letteron in 2010.","","Privately Owned","","","1","Discussions","Property # 2012 - 0014","Other","108639","MD","Forest","","Herring Run","21218","","Community Managed Site","System Administrator","3/23/2012","3/13/2014","6/30/2015"
"Springfield Woods","020","5205","5205 020","2012","a0Kd0000002AlhC","a0Pd00000048IR1","Baltimore","30 x 140","","No","0","Rockville","Alameda Development Limited Partnership","MD","204 Monroe St, Suite 201","20850","4199","MD","","21212","3/26/2012","3/26/2012","","998-900 Springfield Ave","Just south of 43rd, just west of the Alameda. Borders St. George's and Minerva. Springfield dead-ends at the woods.","Baltimore","7","","","","","","","","","40","","","Wilson Park","limited development potential, according to preliminary forest conservation analysis by Gary Letteron in 2010.","","Privately Owned","","","1","Discussions","Property # 2012 - 0014","Other","108639","MD","Forest","","Herring Run","21218","","Community Managed Site","System Administrator","3/23/2012","3/13/2014","6/30/2015"
"Springfield Woods","012","5204","5204 012","2012","a0Kd0000002AlhC","a0Pd00000048IS4","Baltimore","30 x 165","","No","0","Rockville","Alameda Development Limited Partnership","MD","204 Monroe St, Suite 201","20850","4948","MD","","21218","3/26/2012","3/26/2012","","998-900 Springfield Ave","Just south of 43rd, just west of the Alameda. Borders St. George's and Minerva. Springfield dead-ends at the woods.","Baltimore","7","","","","","","","","","40","","","Wilson Park","limited development potential, according to preliminary forest conservation analysis by Gary Letteron in 2010.","","Privately Owned","","","1","Discussions","Property # 2012 - 0014","Other","108639","MD","Forest","","Herring Run","21218","","Community Managed Site","System Administrator","3/23/2012","3/13/2014","6/30/2015"
"Springfield Woods","010","5204","5204 010","2012","a0Kd0000002AlhC","a0Pd00000048IS9","Baltimore","30 x 165","","No","0","Rockville","Alameda Development Limited Partnership","MD","204 Monroe St, Suite 201","20850","4948","MD","","21218","3/26/2012","3/26/2012","","998-900 Springfield Ave","Just south of 43rd, just west of the Alameda. Borders St. George's and Minerva. Springfield dead-ends at the woods.","Baltimore","7","","","","","","","","","40","","","Wilson Park","limited development potential, according to preliminary forest conservation analysis by Gary Letteron in 2010.","","Privately Owned","","","1","Discussions","Property # 2012 - 0014","Other","108639","MD","Forest","","Herring Run","21218","","Community Managed Site","System Administrator","3/23/2012","3/13/2014","6/30/2015"
"Springfield Woods","021","5205","5205 021","2012","a0Kd0000002AlhC","a0Pd00000048IQ4","Baltimore","30 x 140","","No","0","Rockville","Alameda Development Limited Partnership","MD","204 Monroe St, Suite 201","20850","4199","MD","","21212","3/26/2012","6/22/2012","","998-900 Springfield Ave","Just south of 43rd, just west of the Alameda. Borders St. George's and Minerva. Springfield dead-ends at the woods.","Baltimore","7","","","","","","","","","40","","","Wilson Park","limited development potential, according to preliminary forest conservation analysis by Gary Letteron in 2010.","","Privately Owned","","","1","Discussions","Property # 2012 - 0014","Other","108639","MD","Forest","","Herring Run","21218","","Community Managed Site","System Administrator","3/23/2012","3/13/2014","6/30/2015"
"Exeter Gardens","058","1380","1380 058","2011","a0Kd0000002Adlu","a0Pd0000005LY55","Baltimore","18-3X60-10","","Yes","0","","Mayor & City Council","","","","1110","MD","101 S. Exeter Street","21202","8/24/2012","8/24/2012","1380 059","101-103 S. Exeter Street","","Baltimore","12","Food Production","","3/15/2012","","","","","","46","","","Jonestown","Touch base with contacts and find out which land they have started greening. Reconfirm lot numbers.","","City Owned","Adopt-A-Lot","1380 058","1","","Property # 2012 - 0012","Person Involved in Project","2630","MD","Garden","","Direct Harbor","21202","B-2-3","Community Managed Site","System Administrator","3/15/2012","3/13/2014","8/31/2012"
"Exeter Gardens","059","1380","1380 059","2011","a0Kd0000002Adlu","a0Pd0000005LY5K","Baltimore","25X60-10","","Yes","0","","Mayor and City Council","","","","1520","MD","103 S. Exeter Street","21202","8/24/2012","8/24/2012","1380 059","101-103 S. Exeter Street","","Baltimore","12","Food Production","","3/15/2012","","","","","","46","","","Jonestown","Touch base with contacts and find out which land they have started greening. Reconfirm lot numbers.","","City Owned","Adopt-A-Lot","1380 058","1","","Property # 2012 - 0012","Person Involved in Project","2630","MD","Garden","","Direct Harbor","21202","B-2-3","Community Managed Site","System Administrator","3/15/2012","3/13/2014","8/31/2012"
"UFPIA Community Garden","072","1754","1754 072","1987","a0Kd0000002B0BL","a0Pd00000048SdF","Baltimore","31 x 100","","No","0","","Baltimore Green Space","","","","3100","MD","1827-29 E. Pratt Street","21231","4/13/2012","4/13/2012","","1827 E. Pratt Street","Wolfe, E Pratt, and S Ann","Baltimore","1","Food Production; Gathering Space; Relief from Built Environment; Stormwater Management","","","","Yes","","no","Yes","46","Community Managed","Air Quality; Beautification; Food; Neighborhood Sociability; Push Out Crime/Drugs; Reduce Trash/Dumping; Water Quality","Upper Fells Point","","","Mixed","","","1","Protected by BGS","Property # 2012 - 0026","","4600","MD","Garden","Beauty; Children's Activities; Connected to Schools; Food Grown - Individual Plots; Food Grown - Organic","Direct Harbor","21231","R-8","Community Managed Site","System Administrator","4/9/2012","3/28/2014","5/11/2015"
"UFPIA Community Garden","074","1754","1754 074","1987","a0Kd0000002B0BL","a0Pd00000048SdK","Baltimore","15 x 100","","No","0","","Baltimore Green Space","","","","1500","MD","1825 E. Pratt Street","21231","4/13/2012","4/18/2012","","1827 E. Pratt Street","Wolfe, E Pratt, and S Ann","Baltimore","1","Food Production; Gathering Space; Relief from Built Environment; Stormwater Management","","","","Yes","","no","Yes","46","Community Managed","Air Quality; Beautification; Food; Neighborhood Sociability; Push Out Crime/Drugs; Reduce Trash/Dumping; Water Quality","Upper Fells Point","","","Mixed","","","1","Protected by BGS","Property # 2012 - 0026","","4600","MD","Garden","Beauty; Children's Activities; Connected to Schools; Food Grown - Individual Plots; Food Grown - Organic","Direct Harbor","21231","R-8","Community Managed Site","System Administrator","4/9/2012","3/28/2014","5/11/2015"
"Library Square Native Garden","001","1693","1693 001","2014","a0Kd000000EbK35","a0Pd000000V1oHA","Baltimore","","","","0","Baltimore","Patterson Park Community Development Corporation","MD","1 E. Pratt St., Ste 800","21202","","MD","201 N. Lakewood Avenue","21224","7/2/2014","7/2/2014","","201 N. Lakewood Avenue","","Baltimore","13","","","","","","","","","46","Managed by Institution","Air Quality; Beautification; Birds; Butterflies; Connecting to the Land; Education; Neighborhood Sociability; Property Value; Push Out Crime/Drugs; Reduce Trash/Dumping","McElderry Park","Part of Friends of  Library Square project. Check in 2015 to see if management is now by community.","","Privately Owned","","","0","Minor Contact","Property # 2014 - 0321","Person Involved in Project","0","MD","Garden","Art Inc.; Beauty; Connected to Schools; Flower Beds; Food Grown - Organic; Wildlife Habitat/Animals Kept","Direct Harbor","21224","","Community Managed Site","System Administrator","7/2/2014","7/22/2015","7/2/2014"
"HEPP Park-Patch 381","001","5441","5441 001","","a0Kd000000Fz5xU","a0Pd000000Y69EL","Baltimore","","","Yes","0","","MCC","","","","370000","MD","2300 Westfield Avenue","","9/18/2014","9/18/2014","","2301 Pinewood Ave.","","Baltimore","3","","","","","","","","","43","","","Hamilton Hills","Forest Patch, former school site? LISTED AS SCHOOL 402 BELIEVED TO BE NORTHERN'S NUMBER
Notes from Glenda Weber, 11.13:
Patch 381 Pinewood & McClean

Description
Beautiful woods with many mature oaks/beech/tupelo. Moss and native wild flowers on the forest floor.  The soil in different places seems to be very wet. We were curious if there might be a water source (seep, spring, etc.). This has a track across the street and residents along the other 3 sides.  It is a square shaped lot that is owned by the city. There are paths through it in several places. There were many small tupelo/ Black Gum trees in places here. 

Possible Safety Concerns
Poison Ivy
Glass
Trash
Homeless residence- seems active

Things to Keep
white oak mature and seedling
red oaks? 
Black gum/tupelo
hickory  
tulip- seedling
false solomon's seal-wildflower
spotted winter green
partridge berry
low bush blueberry
? leucothoe

Things to remove
There was one Ailanthus tree and in some places the green briar seems to be taking over.  

Birds from Nov. 23:
house wren
junco
cedar waxwing
mourning dove (7)
redbellied woodpecker
crow (lots)
downy woodpecker
winter wren
starling
cardinal
robin
whitebreasted nuthatch
white-throated sparrow
mockingbird
carolina chickadee
carolina wren

Legislative district 43
City council district 3","","City Owned","","","1","Minor Contact","Property # 2014 - 0337","Other","370000","MD","Forest","","Herring Run","21214","","Community Managed Site","System Administrator","9/18/2014","10/22/2015","12/1/2014"


"Sites with Lots Report"
"Copyright (c) 2000-2015 salesforce.com, inc. All rights reserved."
"Confidential Information - Do Not Distribute"
"Generated By:  Miriam Avins  11/3/2015 9:23 AM"
"Baltimore Green Space"
